channelAvatar,title,link,channel,publishedAt,duration,views,likes,comments,shortDescription,tags,category,thumbnail,myCategory,playlistPosition
https://yt3.ggpht.com/ytc/AIdro_m8gETDSV_0VHErh636LThB0fJZqNLaBwGDXhm-K7D6RAI=s88-c-k-c0x00ffffff-no-rj,David Castello-Lopes s'intéresse... au camping-car | 28 minutes | ARTE,https://www.youtube.com/watch?v=X6ugftjrpCc,28 minutes - ARTE,'05/12/2025 19:45,00:04:48,75354,2334,69,David Castello-Lopes se penche sur les camping-car,"Débat, 28 minutes, Arte, Élisabeth quin, actualité, international, Benjamin Sportouch, David Castello-Lopes, voitures, caravanes, loisirs",25,https://i.ytimg.com/vi/X6ugftjrpCc/hqdefault.jpg,,34
https://yt3.ggpht.com/ytc/AIdro_m8gETDSV_0VHErh636LThB0fJZqNLaBwGDXhm-K7D6RAI=s88-c-k-c0x00ffffff-no-rj,David Castello-Lopes s'intéresse... au basilic de supermarché  | 28 minutes | ARTE,https://www.youtube.com/watch?v=6rLzlrPsUQ8,28 minutes - ARTE,'28/11/2025 19:45,00:04:40,71143,2387,71,"28 minutes est le magazine d’actualité d’ARTE, pré","Débat, 28 minutes, Arte, Élisabeth quin, actualité, international, Benjamin Sportouch",25,https://i.ytimg.com/vi/6rLzlrPsUQ8/hqdefault.jpg,,51
https://yt3.ggpht.com/ytc/AIdro_m8gETDSV_0VHErh636LThB0fJZqNLaBwGDXhm-K7D6RAI=s88-c-k-c0x00ffffff-no-rj,David Castello-Lopes nous raconte la passion du froid qui tourne à l’obsession | 28 minutes | ARTE,https://www.youtube.com/watch?v=YKRnqRc22Lc,28 minutes - ARTE,'17/10/2025 18:45,00:04:36,106520,2995,139,David Castello-Lopes s'intéresse à comment faire d,"Débat, 28 minutes, Arte, Élisabeth quin, actualité, international, Benjamin Sportouch, Le Monde des Choses, David Castello Lopes, froid, frigo, frigidaire, SIFA, salon international du froid et de ses applications",25,https://i.ytimg.com/vi/YKRnqRc22Lc/hqdefault.jpg,,100
https://yt3.ggpht.com/Xh9JEQHtgriFgfP4zJ7u63tyeN1b9QUAEl_m05PKEbbkyE7JG-1lM_dW4_AV_SuXuM4Do_fKHg=s88-c-k-c0x00ffffff-no-rj,Kemar - Libre ,https://www.youtube.com/watch?v=0o1pBRmfrKY,Kemar,'07/09/2025 14:46,00:04:19,58068,4236,353,"1 instant : 2 vies


Réalisé par Benjamin Sibioude",,23,https://i.ytimg.com/vi/0o1pBRmfrKY/hqdefault.jpg,,156
https://yt3.ggpht.com/X6kguruUc4JHySApVt9fRva4Wl8TV7KTmJPBKAUW6HEe576TwB39x3aJVC4tRZlCPQfgPXerTw=s88-c-k-c0x00ffffff-no-rj,The Network Effects of Uber: Under the Hood,https://www.youtube.com/watch?v=yEminPU_7cc,NFX,'20/12/2017 19:02,00:02:58,43666,623,7,To learn how to use the Network Effects Map for yo,"network effects, nfx, nfx guild, uber, case study, investors, investments, venture capital, funds, invest, marketplace, marketplace network effect, network effects map, map, nfx case study, san francisco, sf, silicon valley, tech, startup, strategy, success, magic, houdini",22,https://i.ytimg.com/vi/yEminPU_7cc/hqdefault.jpg,,161
https://yt3.ggpht.com/6Nro_o284NE8owgOZaNzChPdijwrVjQS93Bwp3ESccRTWofPcthJ3OZc4plxirmQvTFhjBO2iA=s88-c-k-c0x00ffffff-no-rj,Franjo : Entre Deux Escabeaux,https://www.youtube.com/watch?v=U9Eyd6PjKHk,billet réduc,'23/11/2024 13:40,00:03:45,12044,431,12,Merci à Franjo d’avoir eu la patience de discuter ,,22,https://i.ytimg.com/vi/U9Eyd6PjKHk/hqdefault.jpg,,172
https://yt3.ggpht.com/lBn7AF8kxnU7qijRluhSxlQuXCOPhVj__ialrcOH1IZMUpZ1AmuHhLadbl2HFGNOAgFjMzNGEw=s88-c-k-c0x00ffffff-no-rj,FLIPPÉ SAISON 2 #20 - L'OEIL DU CYCLONE,https://www.youtube.com/watch?v=xeofm-7xMUA,Studio Bagel,'30/07/2025 15:30,00:02:57,58658,2760,99,Après une discussion délicate qu'il a eue avec Aur,"studio bagel, studio, bagel, humour, comedie, drole, marrant, sketch, parodie, podcast",23,https://i.ytimg.com/vi/xeofm-7xMUA/hqdefault.jpg,,180
https://yt3.ggpht.com/XoPSuGDxwgLvhCATWsvXHbVJ3oN6KvK00k9Pc0IJm8vQcSbE1KVAQMGk8_d3Pfu6QOJHHoBSMn0=s88-c-k-c0x00ffffff-no-rj,"Skynet, l'inintelligence artificielle | Tu mourras moins bête avec ARTE",https://www.youtube.com/watch?v=9wfR4ApamN0,Tu mourras moins bête - ARTE,'28/07/2025 15:00,00:03:32,77304,4189,85,"Un robot peut-il remonter le temps ? 

Si les robo","ARTE, Série fiction, TV, tmmb, tu mourras moins bête, science, scientifique, saison 4, professeur moustache, Nathanaël, animation, humour, drôle, humouristique, apprentissage, saison, question, robot, ordinateur, terminator, Skynet, IA, intelligence artificielle, futur",1,https://i.ytimg.com/vi/9wfR4ApamN0/hqdefault.jpg,,183
https://yt3.ggpht.com/lBn7AF8kxnU7qijRluhSxlQuXCOPhVj__ialrcOH1IZMUpZ1AmuHhLadbl2HFGNOAgFjMzNGEw=s88-c-k-c0x00ffffff-no-rj,FLIPPÉ SAISON 2 #19 - LE JEU DES VÉRITÉS,https://www.youtube.com/watch?v=HGXnrBKdXF0,Studio Bagel,'23/07/2025 15:30,00:02:38,49504,3335,84,Théo et Auriane jouent à un jeu qui n'appartient q,"studio bagel, studio, bagel, humour, comedie, drole, marrant, sketch, parodie, podcast",23,https://i.ytimg.com/vi/HGXnrBKdXF0/hqdefault.jpg,,187
https://yt3.ggpht.com/ytc/AIdro_l-3C1Ty2tIjUA-nERqLsPVbIlUJitbqM7VWXaS7kDBNA=s88-c-k-c0x00ffffff-no-rj,CHICS TYPES EP.3 - Le mec parfait,https://www.youtube.com/watch?v=SWLbkiKFDs0,Yes vous aime,'04/07/2025 16:00,00:02:52,174674,9977,206,"CHICS TYPES Ep.3 : le mec parfait 🤖🦾🤵🏻‍♂️

Coucou ",,23,https://i.ytimg.com/vi/SWLbkiKFDs0/hqdefault.jpg,,203
